Single-Stroke Briefs Part 39

'diamond': TKAOEUPLD
'diaphragm': TPRAEPL
'diarrhea': TKRAO*E
'diarrheal': TKRAOEL
'diastole': TKO*EL
'diastolic': TKEULG
'dib': TKEUB
'dibble': TKEUBL
'dice': TKAOEUS
'diced': TKAOEUSD
'dick': TKEUBG
'diction': TK*EUBGS
'didn't': TK-PBT
'died': TKAOEUD
'diet': TKAO*EUT
'differ': TK-FR
'difference': TKEUFRPBS
'differentiation': TKEUFRPBGS
'differs': TKEUFRS
'difficult': TKEUFL
'difficulty': TKOEUFLT
'dig': TKEUG
'digest': SKWR*EFT
'digestion': SKWREGS
'digit': TKEUGT
'digital': TK*EUL
'dike': TKAO*EUBG
'dilate': TKAOEULT
'dilated': TKHRAEUTD
'dilating': TKHRAEUGT
'dilation': TKAOEULGS
'dill': TKEUL
'dilute': KHRAOUT
'diluted': TKHRAOUTD
'dilution': TKHRAO*UG
'dim': TKEUPL
'dime': TKAOEUPL
'dimension': TKPHEGS
'dimer': TKAO*EURPL
'dimmed': TKEUPLD
'dimmer': TKAOERPL
'dimming': TKEUPLG
'dimple': TK*EUPL
'din': TKEUPB
'dine': TKAOEUPB
'diner': TKAOEURPB
'ding': TKEUPBG
'dint': TK*EUPBT
'dip': TKEUP
'dipped': TKEUPD
