Ruby

'ruby': RAOU/PWEU
''2.2.0'': A*E/#T/P-P/#T/P-P/#O/AE
'{}': WUZ/WUZ
'source': S-RS
''https://rubygems.org'': A*E/HAOEPTS/RO*EUB/SKWREPLS/AE
'require': RAOEUR
''rubygems'': A*E/RO*EUB/SKWREPLS/AE
''json'': A*E/SKWROFPB/AE
'gem': SKWREPL
''rails',': A*E/HRO*ER/RA*EULS/AE/KW-BG
''3.2.21'': A*E/#P/P-P/#T/P-P/12EU/AE
''mysql2',': A*E/PHAOEU/SKW-L/2/AE/KW-BG
''~>': A*E/T*LD/PWRA*BG
'0.3.13'': 0EU/P-P/#P/P-P/1/3/AE
''sinatra'': A*E/HRO*ER/STPHAT/RA/AE
''nokogiri'': A*E/TPHO/KO/TKPWEU/REU/AE
''devise'': A*E/TKWAOEUZ/AE
'group': TKPWROUP
':production': STPH-FPLT/PROUBGS
':development': STPH-FPLT/SREPLT
':test': STPH-FPLT/TEFT
':cucumber': STPH-FPLT/KAOUBG/PWER
'do': TKO
'end': EPBD
'VERSION': *URP/SRERGS
'=': KW-L
'{': TPR-BGT
'=>': HARB/RO*BGT
'}': TPR*BGT
'File': KPA/TPAOEUL
'.expand_path': TP-PL/EBGS/PAPBD/RUPBD/PA*T
'('../config': PREPB/AE/TP-PL/TP-PL/OEU/KOPB/TP*EUG
'/application',': OEU/PAEUBGS/AE/KW-BG
'__FILE__)': RUPBD/RUPBD/*URP/TPAOEUL/RUPBD/RUPBD/PR*EPB
'Thing::Application': KPA/THEUPBG/STPH-FPLT/STPH-FPLT/KPA*/PAEUBGS
'.load_tasks': TP-PL/HRAOD/RUPBD/TAFBGS
'if': TP
'Rails': RA*EULS
'.env': TP-PL/TPH*FPB
'.development?': TP-PL/SREPLT/H-F
'||': PAO*EUP/PAO*EUP
'.test?': TP-PL/TEFT/H-F
''rspec-rerun/tasks'': A*E/R*/SP*EBG/H-PB/RE/RUPB/OEU/TAFBGS/AE
'task': TAFBG
'default:': TKEFLT/STPH-FPLT
''rspec-rerun:spec'': A*E/R*/SP*EBG/H-PB/RE/RUPB/STPH-FPLT/SP*EBG/AE
'ARGV': A*RG/SR*
