Single-Stroke Briefs Part 2

'additional': ALG
'adjustment': SKWR*UPLT
'administer': SPHEURPBT
'administrating': STKRAEUG
'administration': STKRAEUGS
'administrator': STRAEUR
'adopt': TKOPT
'adoption': TKOPGS
'adrenal': TKRAOEPBL
'adult': TKULT
'adulthood': TKULTD
'advance': SRAPBS
'advancement': SRAPLT
'advantage': SRAPBG
'adventure': SREPBG
'adverse': STKWERS
'advertise': TEUZ
'advertised': TAOEUFD
'advertisement': TAOEUPLT
'advertising': TAOEUFG
'advice': SREUS
'affability': AFBLT
'affable': AFBL
'affect': AFBGT
'affection': A*FBGS
'afferent': AFRPBT
'affidavits': AFDZ
'affiliate': TPEULT
'afford': AFRD
'afternoon': AFPB
'afterward': A*FRD
'aged': AEUGD
'agent': AGT
'aggregate': TKPWRAT
'agreed': TKPWRAED
'agreement': KWRAOEPLT
'ah': HA*E
'ah,': AERBGS
'aid': AEUD
'aide': AED
'ail': AEUL
'aim': AEUPL
'ain't': AEUPBT
'aircraft': AEURBGT
'airport': AEURP
'aisle': AO*EUL
'alcohol': KHOL
'alcoholic': KHO*LG
'alcoholism': KHROEUFPL
