Holger Danske

'In': KPA/TPH
'Denmark': TKEPB/PHARBG
'there': THR
'stands': STAPBDZ
'an': APB
'old': OLD
'castle': KAFL
'named': TPHAEUPLD
'Kronenburg,': K*P/R*/O*PB/*EPB/PW*URG/KW-BG
'close': KHROES
'by': PWEU
'the': -T
'Sound': KPA/SOUPBD
'of': -F
'Elsinore,': EL/-S/*EUPB/O*R/SKWRE/KW-BG
'where': W-R
'large': HRARPBLG
'ships,': SHEUPS/KW-BG
'both': PWO*T
'English,': EPBG/HREUBG/HREURB/-RBGS
'Russian,': R*UGS/KW-BG
'and': SKP
'Prussian,': PRUGS/KW-BG
'pass': PAS
'by': PWEU
'hundreds': HUPBS
'every': EF
'day.': TKAEU/TP-PL
'And': AFPBD
'they': THE
'salute': SA/HRAOUT
'the': -T
'old': OLD
'castle': KAFL
'with': W
'cannons,': KAPB/TPHOPB/-S/KW-BG
'"Boom,': KW-GS/KPA*/PWAOPL/KW-BG
'boom,"': PWAOPL/KW-BG/KR-GS
'which': WEU
'is': S
'as': AS
'if': TP
'they': THE
'said,': SED/KW-BG
'"Good-day."': KW-GS/KPA*/TKPWAOD/H-PB/TKAEU/TP-PL/KR-GS
'And': AFPBD
'the': -T
'cannons': KAPB/TPHOPB/-S
'of': -F
'the': -T
'old': OLD
'castle': KAFL
'answer': AEPBS
'"Boom,"': KW-GS/KPA*/PWAOPL/KW-BG/KR-GS
'which': WEU
'means': PHAOEPBS
'"Many': KW-GS/KPA*/PHAEPB
'thanks."': THAPBGS/TP-PL/KR-GS
'In': KPA/TPH
'winter': WEURPBT
'no': TPHO
'ships': SHEUPS
'sail': SAEUL
'by,': PWEU/KW-BG
'for': TPOR
'the': -T
'whole': WHOEL
'Sound': KPA/SOUPBD
'is': S
'covered': KOFRD
'with': W
'ice': AOEUS
'as': AS
'far': TPAR
'as': AS
'the': -T
'Swedish': SWAOED/EURB
'coast,': KOEFT/KW-BG
'and': SKP
'has': HAS
'quite': KWAOEUT
'the': -T
'appearance': PAOERPBS
'of': -F
'a': AEU
'high-road.': HAOEU/H-PB/RAOD/TP-PL
'The': KPA/-T
'Danish': TKAEUPB/EURB
'and': SKP
'the': -T
'Swedish': SWAOED/EURB
'flags': TPHRAGS
'wave,': WAF/KW-BG
'and': SKP
'Danes': TKAPB/ES
'and': SKP
'Swedes': SWAOED/-S
'say,': SAEU/KW-BG
'"Good-day,"': KW-GS/KPA/TKPWAOD/TKA*EU/KW-BG/KR-GS
'and': SKP
'"Thank': KW-GS/KPA*/THAPBG
'you"': U/KR-GS
'to': TO
'each': AOEFP
'other,': OER/KW-BG
'not': TPHOT
'with': W
'cannons,': KAPB/TPHOPB/-S/KW-BG
'but': PWUT
'with': W
'a': AEU
'friendly': TPREPBLD
'shake': SHAEUBG
'of': -F
'the': -T
'hand;': HAPBD/STPH*FPLT
'and': SKP
'they': THE
'exchange': KPAEUPBG
'white': WHAOEUT
'bread': PWRAED
'and': SKP
'biscuits': PWEUFBGT/-S
'with': W
'each': AOEFP
'other,': OER/KW-BG
'because': PWAU
'foreign': TPOERPB
'articles': ARLS
'taste': TAEUFT
'the': -T
'best.': PWEFT/TP-PL
'But': KPA/PWUT
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'sight': SAOEUT
'of': -F
'all': AUL
'is': S
'the': -T
'old': OLD
'castle': KAFL
'of': -F
'Kronenburg,': K*P/R*/O*PB/*EPB/PW*URG/KW-BG
'where': W-R
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWRE
'sits': SEUTS
'in': TPH
'the': -T
'deep,': TKAOEP/KW-BG
'dark': TKARBG
'cellar,': SEL/AR/KW-BG
'into': TPHAO
'which': WEU
'no': TPHO
'one': WUPB
'goes.': TKPW-S/TP-PL
'He': KPA/HE
'is': S
'clad': KHRAD
'in': TPH
'iron': AOEURPB
'and': SKP
'steel,': STAOEL/KW-BG
'and': SKP
'rests': REFTS
'his': HEUS
'head': HED
'on': OPB
'his': HEUS
'strong': STROPBG
'arm;': ARPL/STPH*FPLT
'his': HEUS
'long': HROPBG
'beard': PWAERD
'hangs': HAPBGS
'down': TKOUPB
'upon': POPB
'the': -T
'marble': PHAERBL
'table,': TAEUBL/KW-BG
'into': TPHAO
'which': WEU
'it': T
'has': HAS
'become': PW-BG
'firmly': TPEURPL/HREU
'rooted;': RAOT/-D/STPH*FPLT
'he': HE
'sleeps': SHRAOEPS
'and': SKP
'dreams,': TKRAOEPLS/KW-BG
'but': PWUT
'in': TPH
'his': HEUS
'dreams': TKRAOEPLS
'he': HE
'sees': SAO*ES
'everything': EFRG
'that': THA
'happens': HAPS
'in': TPH
'Denmark.': TKEPB/PHARBG/TP-PL
'On': KPA/OPB
'each': AOEFP
'Christmas-eve': KREUS/PHAS/H-PB/HRO*ER/AOEF
'an': APB
'angel': APB/SKWREL
'comes': KOPLS
'to': TO
'him': HEUPL
'and': SKP
'tells': TELS
'him': HEUPL
'that': THA
'all': AUL
'he': HE
'has': HAS
'dreamed': TKREPLD
'is': S
'true,': TRAOU/KW-BG
'and': SKP
'that': THA
'he': HE
'may': PHAEU
'go': TKPW
'to': TO
'sleep': SHRAOEP
'again': TKPWEPB
'in': TPH
'peace,': PAES/KW-BG
'as': AS
'Denmark': TKEPB/PHARBG
'is': S
'not': TPHOT
'yet': KWRET
'in': TPH
'any': TPHEU
'real': RAEL
'danger;': TKAEUPBLG/STPH*FPLT
'but': PWUT
'should': SHO
'danger': TKAEUPBLG
'ever': -FR
'come,': KOPL/KW-BG
'then': THEPB
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske': TKAPB/-S/*BG/SKWRE
'will': HR
'rouse': ROUZ
'himself,': HEUPLS/KW-BG
'and': SKP
'the': -T
'table': TAEUBL
'will': HR
'burst': PWUFRT
'asunder': AS/UPBD/ER
'as': AS
'he': HE
'draws': TKRAUS
'out': OUT
'his': HEUS
'beard.': PWAERD/TP-PL
'Then': KPA/THEPB
'he': HE
'will': HR
'come': KOPL
'forth': TPO*RT
'in': TPH
'his': HEUS
'strength,': STREPBG/KW-BG
'and': SKP
'strike': STRAOEUBG
'a': AEU
'blow': PWHROE
'that': THA
'shall': SHAL
'sound': SOUPBD
'in': TPH
'all': AUL
'the': -T
'countries': KUPBTS
'of': -F
'the': -T
'world.': WORLD/TP-PL
'An': KPA/APB
'old': OLD
'grandfather': TKPWR-F
'sat': SAT
'and': SKP
'told': TOLD
'his': HEUS
'little': HREUL
'grandson': TKPWR-S
'all': AUL
'this': TH
'about': PW
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske,': TKAPB/-S/*BG/SKWRE/KW-BG
'and': SKP
'the': -T
'boy': PWOEU
'knew': TPHAOU
'that': THA
'what': WHA
'his': HEUS
'grandfather': TKPWR-F
'told': TOLD
'him': HEUPL
'must': PHUFT
'be': -B
'true.': TRAOU/TP-PL
'As': KPA/AS
'the': -T
'old': OLD
'man': PHAPB
'related': RAELTD
'this': TH
'story,': STOER/KW-BG
'he': HE
'was': WAS
'carving': KAFRBG
'an': APB
'image': EUPBLG
'in': TPH
'wood': WAOD
'to': TO
'represent': REPT
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske,': TKAPB/-S/*BG/SKWRE/KW-BG
'to': TO
'be': -B
'fastened': TPAS/-PBD
'to': TO
'the': -T
'prow': PRO*U
'of': -F
'a': AEU
'ship;': SHEUP/STPH*FPLT
'for': TPOR
'the': -T
'old': OLD
'grandfather': TKPWR-F
'was': WAS
'a': AEU
'carver': KAFRB/ER
'in': TPH
'wood,': WAOD/KW-BG
'that': THA
'is,': S-RBGS
'one': WUPB
'who': WHO
'carved': KAFRBD
'figures': TPEUGS
'for': TPOR
'the': -T
'heads': HEDZ
'of': -F
'ships,': SHEUPS/KW-BG
'according': KORG
'to': TO
'the': -T
'names': TPHAEUPLS
'given': TKPWEUFPB
'to': TO
'them.': THEPL/TP-PL
'And': AFPBD
'now': TPHOU
'he': HE
'had': H
'carved': KAFRBD
'Holger': H*P/O*/HR*/TKPW*/*ER
'Danske,': TKAPB/-S/*BG/SKWRE/KW-BG
'who': WHO
'stood': STAOD
'there': THR
'erect': ER/EBGT
'and': SKP
'proud,': PROUD/KW-BG
'with': W
'his': HEUS
'long': HROPBG
'beard,': PWAERD/KW-BG
'holding': HOELGD
'in': TPH
'one': WUPB
'hand': HAPBD
'his': HEUS
'broad': PWRAOD
'battle-axe,': PWA*LT/H-PB/ABGS/KW-BG
'while': WHAOEUL
'with': W
'the': -T
'other': OER
'he': HE
'leaned': HRAOEPBD
'on': OPB
'the': -T
'Danish': TKAEUPB/EURB
'arms.': ARPLS/TP-PL
