The Turnip

'There': KPA/THR
'were': WR
'two': TWO
'brothers': PWROERS
'who': WHO
'were': WR
'both': PWO*T
'soldiers;': SHRERPBLGS/STPH*FPLT
'the': -T
'one': WUPB
'was': WAS
'rich': REUFP
'and': SKP
'the': -T
'other': OER
'poor.': PAOR/TP-PL
'The': KPA/-T
'poor': PAOR
'man': PHAPB
'thought': THAUT
'he': HE
'would': WO
'try': TREU
'to': TO
'better': PWOERT
'himself;': HEUPLS/STPH*FPLT
'so,': SO/KW-BG
'pulling': PULG
'off': OF
'his': HEUS
'red': RED
'coat,': KOET/KW-BG
'he': HE
'became': PWAEUPL
'a': AEU
'gardener,': TKPWARD/TPHER/KW-BG
'and': SKP
'dug': TKUG
'his': HEUS
'ground': TKPWROUPBD
'well,': WEL/KW-BG
'and': SKP
'sowed': SOE/-D
'turnips.': TURPB/EUPS/TP-PL
'When': KPA/WHEPB
'the': -T
'seed': SAOED
'came': KAEUPL
'up,': UP/KW-BG
'there': THR
'was': WAS
'one': WUPB
'plant': PHRAPBT
'bigger': PWEURG
'than': THAPB
'all': AUL
'the': -T
'rest;': REFT/STPH*FPLT
'and': SKP
'it': T
'kept': KEPT
'getting': TKPWEGT
'larger': HRAERPBLG
'and': SKP
'larger,': HRAERPBLG/KW-BG
'and': SKP
'seemed': SAOEPLD
'as': AS
'if': TP
'it': T
'would': WO
'never': TPHEFR
'cease': SAOES
'growing;': TKPWROEG/STPH*FPLT
'so': SO
'that': THA
'it': T
'might': PHAOEUT
'have': SR
'been': PW-PB
'called': KAULD
'the': -T
'prince': PREUPBS
'of': -F
'turnips': TURPB/EUPS
'for': TPOR
'there': THR
'never': TPHEFR
'was': WAS
'such': SUFP
'a': AEU
'one': WUPB
'seen': SAOEPB
'before,': PW-FR/KW-BG
'and': SKP
'never': TPHEFR
'will': HR
'again.': TKPWEPB/TP-PL
'At': KPA/AT
'last': HRAFT
'it': T
'was': WAS
'so': SO
'big': PWEUG
'that': THA
'it': T
'filled': TPEULD
'a': AEU
'cart,': KART/KW-BG
'and': SKP
'two': TWO
'oxen': OBGS/*EPB
'could': KO
'hardly': HA*RLD
'draw': TKRAU
'it;': T/STPH*FPLT
'and': SKP
'the': -T
'gardener': TKPWARD/TPHER
'knew': TPHAOU
'not': TPHOT
'what': WHA
'in': TPH
'the': -T
'world': WORLD
'to': TO
'do': TKO
'with': W
'it,': T/KW-BG
'nor': TPH-R
'whether': WHR
'it': T
'would': WO
'be': -B
'a': AEU
'blessing': PWHR*EFG
'or': OR
'a': AEU
'curse': KURS
'to': TO
'him.': HEUPL/TP-PL
'One': KPA/WUPB
'day': TKAEU
'he': HE
'said': SED
'to': TO
'himself,': HEUPLS/KW-BG
''What': A*E/KPA*/WHA
'shall': SHAL
'I': EU
'do': TKO
'with': W
'it?': T/H-F
'if': TP
'I': EU
'sell': SEL
'it,': T/KW-BG
'it': T
'will': HR
'bring': PWREU
'no': TPHO
'more': PHOR
'than': THAPB
'another;': TPHOER/STPH*FPLT
'and': SKP
'for': TPOR
'eating,': AOEGT/KW-BG
'the': -T
'little': HREUL
'turnips': TURPB/EUPS
'are': R
'better': PWOERT
'than': THAPB
'this;': TH/STPH*FPLT
'the': -T
'best': PWEFT
'thing': THEUPBG
'perhaps': PRAPS
'is': S
'to': TO
'carry': KAER
'it': T
'and': SKP
'give': TKPWEUF
'it': T
'to': TO
'the': -T
'king': KEUPBG
'as': AS
'a': AEU
'mark': PHARBG
'of': -F
'respect.'': R-PT/TP-PL/AE
'Then': KPA/THEPB
'he': HE
'yoked': KWRO*EBG/-D
'his': HEUS
'oxen,': OBGS/*EPB/KW-BG
'and': SKP
'drew': TKRAOU
'the': -T
'turnip': TURPB/EUP
'to': TO
'the': -T
'court,': KORT/KW-BG
'and': SKP
'gave': TKPWAEUF
'it': T
'to': TO
'the': -T
'king.': KEUPBG/TP-PL
''What': A*E/KPA*/WHA
'a': AEU
'wonderful': WUFL
'thing!'': THEUPBG/SKHRAPL/AE
'said': SED
'the': -T
'king;': KEUPBG/STPH*FPLT
''I': A*E/EU
'have': SR
'seen': SAOEPB
'many': PHAEPB
'strange': STRAEUPBG
'things,': THEUPBGS/KW-BG
'but': PWUT
'such': SUFP
'a': AEU
'monster': PHOPB/STER
'as': AS
'this': TH
'I': EU
'never': TPHEFR
'saw.': SAU/TP-PL
'Where': KPA/W-R
'did': TK
'you': U
'get': TKPWET
'the': -T
'seed?': SAOED/H-F
'or': OR
'is': S
'it': T
'only': OEPBL
'your': KWROUR
